DMS ID,x_var,spearman_rho,p_value,n_points,x_unique,y_unique,x_min,x_max,y_min,y_max,spearman_diff_id,sig_diff
IAV_H3_HA_Lee,neff50,0.5857142857142856,0.021776517619042774,15,15,15,760.4853021088679,3085.453718295614,0.2737541333736235,0.3795011840498859,0.10574705067626244,True
IAV_H3_NP_Doud,neff50,0.3878464462024147,0.1531629423138244,15,14,15,80.5503357753358,1959.6586098712603,0.1704631097400622,0.284154124423585,0.1136910146835228,True
IAV_H5_HA_Dadonaite,neff50,0.5868131868131868,0.02738437553108774,14,14,14,1258.1228220447435,6861.692899632548,0.302757457332284,0.3571340204511327,0.0543765631188487,False
IAV_NA_Jiang,neff50,0.7422688462297808,0.0009919219225543612,16,14,16,119.6095238095238,4151.757944595852,0.4358332815453657,0.5810792672475316,0.14524598570216585,True
IAV_PA_Wu,neff50,0.7426470588235294,0.000638246691161089,17,17,17,196.77998667998665,2191.0275604897656,0.2875164771308495,0.4966275542043161,0.2091110770734666,True
IAV_PB2_Soh,neff50,0.8331294615000754,3.289024123196498e-05,17,15,17,211.0261904761905,2427.715844810066,0.1514773123096615,0.2679846280621643,0.11650731575250278,True
IAV_RDRP_Li,neff50,0.6499999999999999,0.008711583621912303,15,15,15,183.9845922804249,1980.4318709150384,0.1739167732083021,0.3743201641561039,0.20040339094780182,True
LAMBDA_HCP_Tsuboyama,neff50,-0.8461538461538463,0.000521133700481005,12,12,12,106.0,61824.00000000037,0.1986348158383656,0.4354239376637819,0.2367891218254163,True
LASSA_GP_Carr,neff50,-0.28961944570239856,0.2950833159274211,15,9,15,89.0,513.1344183464089,0.2290956224501787,0.3772106055193115,0.14811498306913282,True
NIPAH_F_Larsen,neff50,-0.3545775255081567,0.17780713457372016,16,9,16,5.0,22.000000000000004,0.1800416418853038,0.3451820587831949,0.1651404168978911,True
PESV_POLG_Tsuboyama,neff50,-0.8791208791208791,7.54456235935913e-05,13,13,13,36.0,57536.99999999833,0.0542446750148901,0.3818613476939739,0.3276166726790838,True
RmYN02_RBD_Starr,neff50,-0.7999999999999999,0.00019857097280000043,16,16,16,117.54497269412792,313.91395011818696,-0.2491867118028092,0.1729918403651111,0.42217855216792033,True
RsYN04_RBD_Starr,neff50,-0.24848484848484845,0.48877630451924314,10,10,10,118.1230889335986,289.66449563923874,-0.0950145841679632,0.108989753609871,0.2040043377778342,True
RshSTT182_RBD_Starr,neff50,,,0,0,0,,,,,,False
SARS1_RBD_Starr,neff50,,,0,0,0,,,,,,False
SARS2_BA1_SPIKE_Dadonaite,neff50,-0.2982456140350877,0.229322411766133,18,18,18,128.17666036217005,403.8055580988264,0.3267462441401139,0.3857509692982587,0.05900472515814481,False
SARS2_DELTA_SPIKE_Dadonaite,neff50,0.40144478844169246,0.09869191321215517,18,18,18,128.8611284313967,410.9309610202115,0.2609842481941477,0.3141825339581556,0.05319828576400787,False
SARS2_MRPO_Flynn,neff50,-0.7200852222290964,0.01884691057749056,10,7,10,94.00191290191296,14181.055410125024,0.0436651263539772,0.6054992905355836,0.5618341641816064,True
SARS2_PLPRO_Wu_abundance,neff50,0.3514675116774037,0.353666329808871,9,8,9,3.0,250477.35965133423,0.1003811156263673,0.4054429059712924,0.3050617903449251,True
SARS2_PLPRO_Wu_activity,neff50,0.2677847708018314,0.4860296141888535,9,8,9,3.0,250477.35965133423,0.0564071258445804,0.4664738452800835,0.4100667194355031,True
SARS2_PRD0038_RBD_Starr,neff50,-0.11977286056639443,0.6359402250359499,18,17,18,114.48627162522712,438.2668987814649,0.3373918847925182,0.4065864919640192,0.069194607171501,False
SARS2_RBD_Starr_binding,neff50,-0.15583075335397317,0.5369306230900768,18,18,18,123.68139103545305,416.5830302000338,0.1907379744111135,0.2691705949316647,0.07843262052055117,False
SARS2_RBD_Starr_expression,neff50,-0.17027863777089783,0.49934109695673956,18,18,18,123.68139103545305,416.5830302000338,0.326448396312413,0.433014548406704,0.10656615209429099,True
SARS2_XBB15_RBD_Taylor,neff50,-0.5913312693498451,0.009747493195938688,18,18,18,122.7259064202379,405.767487274709,0.303577436757163,0.4107315739223143,0.10715413716515132,True
