DMS ID,Assay,Antigen,PSSM_Spearman,EVH_Spearman,EVE_Spearman,ali_confidence,Ensemble_ESM1v,SaProt_AF,SaProt_PDB,tranception_score,plm_confidence,tranception_retrieval,trancepteve,VESPA,EVEREST
SARS2_MRPO_Flynn,fitness,False,0.5804935452338189,0.5633567030088837,0.6106307704411283,69.0461500269041,-0.0404186276104629,0.2411276092529898,0.4721277114797585,0.2156035513516198,0.8428862973263389,0.3971287973955368,0.5515267768644613,0.5074400321430911,0.629612492407647
IAV_RDRP_Li,fitness,False,0.4808613961980285,0.3743201641561039,0.4636691215858541,1461.57880571149,0.0568434333901044,0.1492058818271265,0.2295036348764192,0.4586422032324743,0.6469366424962094,0.4878153581331437,0.5281244124898188,0.4497853135547676,0.4893885916216741
BP434_RPC1_Tsuboyama,stability,False,0.6053073147879439,0.5527121155171922,0.4972539705176731,21.000000000000032,0.6914385864840512,0.6998840632985067,0.6336725999773949,0.610222643339048,0.9207734559711656,0.6436108753772358,0.5193990930495653,0.5733486202966338,0.6430087769056153
RmYN02_RBD_Starr,expression,True,0.2257782274128649,0.3458027481179759,0.3959161762655198,2.0,-0.0336768810300567,0.4666611546440278,0.5396688710195489,0.3310147857045025,0.7501561767176578,,,0.3249286315252962,0.5132261775916821
RsYN04_RBD_Starr,expression,True,0.1714589916352709,0.315652643436667,0.3272657246176645,1.0,-0.0677717459879543,0.3653182986761212,0.5106541171303852,0.3883456449094321,0.8197135423359118,,,0.2623241619479832,0.4888312760003664
SARS2_XBB15_RBD_Taylor,expression,True,0.2224026226317353,0.333681828831244,0.4082732113696375,154.58038807529522,0.0226158082812245,0.4053230922491295,0.5629716562479251,,0.6538286711040296,,,0.292128184376733,0.5565593904072332
SARS2_RBD_Starr_binding,binding,True,0.150197432112948,0.2110526990188378,0.2289924137676821,135.91714208862305,-0.0385149399474123,0.357308130020555,0.573881223816653,0.3548558178765418,0.6611536929481908,0.3190034097075679,0.3201048882171792,0.323569998643044,0.4108015209129239
SARS2_RBD_Starr_expression,expression,True,0.1785275307513163,0.3410810359698889,0.433915215592813,135.91714208862305,0.0044538598904291,0.4980184679402101,0.6779531610513032,0.3830565078053266,0.6611536929481908,0.3720810150630211,0.471711822137204,0.3127874717490019,0.6036485060402633
SARS2_BA1_SPIKE_Dadonaite,fitness,True,0.3131832489562389,0.3774749138753049,0.4253557197087936,141.18711936374623,0.0290812847113762,0.3059126858506975,0.3745111807768955,0.307004462474607,0.65554972698814,0.3760109078454343,0.4408217446348333,0.3403156931668927,0.483835081024624
SARS2_DELTA_SPIKE_Dadonaite,fitness,True,0.2354182397939341,0.300683869977118,0.3474824358335831,156.03093717149562,0.0258007306987921,0.2580329770236883,0.297440973497437,0.2247476711440459,0.6741866312528911,0.280039546438516,0.3639758805364406,0.2541491535248368,0.3966233981826884
BPP22_COAT_Tsuboyama,stability,False,0.2379175634489453,0.2165939450137247,0.3506457687971024,9.999999999999996,0.5619154945891586,0.6193339938113368,0.7413287813228285,0.4638462274612834,0.5562852056402909,0.4189345699398514,0.5115233005831329,0.5099286977142131,0.6026192878585698
BPT7_RPOL_Tsuboyama,stability,False,0.3683097107654979,0.341773597675497,0.3714022953620841,12.0,0.3742797311551147,0.6619159909292098,0.6971688325353685,0.1219174963110001,0.7070596845526445,0.2812154599391053,0.3306186655837497,0.4991360161418344,0.499978681393032
